,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
113,B130,BGEM-0156-S,1267.0,17.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,97.3009824393699,60.3661237258372,82.896061022046,129.850000001911,176.499999995546
114,B131,BGEM-0157-N,1337.0,37.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,96.4818987605073,57.8860583527453,78.1305120235991,123.475000001911,171.749999995546
115,B132,BGEM-0158-S,1103.0,3.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,97.7068987605073,58.9860583527453,77.9555120235991,133.275000001911,183.999999995546
116,B134,BGEM-0159-S,1156.0,6.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,112.30098243937,67.3911237258372,90.721061022046,140.750000001911,200.499999995546
117,B136,BGEM-0162-S,1181.0,31.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,100.045066118232,58.8211890989292,74.886610020493,119.750000001911,168.499999995546
118,B137,BGEM-0164-S,1190.0,40.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,102.37598243937,59.4661237258372,68.321061022046,127.825000001911,177.749999995546
119,B138,BGEM-0165-S,1025.0,25.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,96.2450661182325,59.5461890989292,88.611610020493,147.050000001911,197.499999995546
120,B139,BGEM-0166-S,1007.0,7.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,104.75098243937,65.3411237258372,100.621061022046,158.900000001911,208.249999995546
121,B140,BGEM-0167-S,1145.0,45.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,98.7294035747564,57.8943779519877,63.3711099177028,127.217529515779,173.472707879177
122,B142,BGEM-0170-S,1247.0,47.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,99.2950661182325,58.7961890989292,63.261610020493,118.575000001911,164.499999995546
123,B143,BGEM-0172-S,1052.0,2.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,115.170066118232,71.1461890989291,90.136610020493,170.950000001911,220.999999995546
124,B144,BGEM-0173-S,1332.0,32.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,90.5568987605073,56.9860583527453,78.7805120235991,124.800000001911,177.249999995546
125,B145,BGEM-0174-N,1240.0,40.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,89.5950661182325,52.2711890989292,59.261610020493,106.250000001911,145.499999995546
126,B146,BGEM-0175-S,1113.0,13.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,97.5568987605073,54.5360583527453,79.7555120235991,137.000000001911,182.249999995546
127,B147,BGEM-0178-S,1017.0,17.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,112.22598243937,70.9411237258372,84.971061022046,154.200000001911,208.499999995546
128,B148,BGEM-0179-S,1042.0,42.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,105.556898760507,67.1860583527453,84.7555120235991,144.275000001911,196.749999995546
