"","male","bands","mean.heterosis","sd.heterosis","se.heterosis","max","min","Trt","Htype"
"171","B73",520,-3.40301047704343,6.24628085495769,0.711829766959779,10.9545283604635,-17.2497116426901,"HN","mid"
"172","B73",521,-3.53361936460156,6.35009496671878,0.723660482980718,11.0612079898786,-17.3361146738633,"HN","mid"
"173","B73",522,-3.66867608630675,6.44042775144527,0.733954859201352,11.1244020534293,-17.4209171203879,"HN","mid"
"174","B73",523,-3.80907570747073,6.52703923346415,0.743825153620248,11.2206223674145,-17.4870159666444,"HN","mid"
"175","B73",524,-3.9307442332961,6.61713908659931,0.75409298482246,11.386876541741,-17.4665655287117,"HN","mid"
"176","B73",525,-4.03328612791583,6.67647053033243,0.760854430352468,11.4709470169737,-17.485481168501,"HN","mid"
"177","B73",526,-4.14930734053808,6.73706468957741,0.767759775670114,11.5026717218406,-17.529835378648,"HN","mid"
"178","B73",527,-4.27273896663757,6.79734579032284,0.774629444660685,11.5323643221028,-17.5462312386103,"HN","mid"
"179","B73",528,-4.37348060289198,6.83340026331327,0.778738233186621,11.5570299052459,-17.4894550656039,"HN","mid"
"180","B73",529,-4.46481132714771,6.86543877033342,0.782389359915544,11.5506983795101,-17.4703156688728,"HN","mid"
"181","B73",530,-4.55903610589337,6.89746787297035,0.786039414915534,11.5185488942771,-17.5035931587646,"HN","mid"
"182","B73",531,-4.6435822088417,6.92363388018573,0.789021308181446,11.4788769846281,-17.5038271028802,"HN","mid"
"183","B73",532,-4.71430537952217,6.93834657511905,0.790697975377322,11.4879628852427,-17.4701852018832,"HN","mid"
"184","B73",533,-4.79629008354832,6.96250091478496,0.793450617849651,11.4494285906171,-17.5274587614104,"HN","mid"
"185","B73",534,-4.86999214740368,6.98843414205205,0.796405983378467,11.4313186075097,-17.6160804261659,"HN","mid"
"186","B73",535,-4.91546710951998,6.99951143402543,0.797668357957365,11.4426640944907,-17.6291596101705,"HN","mid"
"187","B73",536,-4.96697411843578,7.01749719003987,0.799718025080833,11.4425768170194,-17.7456984364724,"HN","mid"
"188","B73",537,-5.01469102475896,7.03390274494547,0.801587611575016,11.4600087471098,-17.8408043775803,"HN","mid"
"189","B73",538,-5.05947949360914,7.05063010654132,0.803493871345127,11.474578457397,-17.8945836562128,"HN","mid"
"190","B73",539,-5.11284840635069,7.06904963776623,0.805592971741635,11.4685152198525,-17.9959797522079,"HN","mid"
"191","B73",540,-5.1536813324642,7.07545511611154,0.806322943746366,11.4174025807667,-18.0195457215781,"HN","mid"
"192","B73",541,-5.18789210552778,7.0832659319247,0.807213068819054,11.4034078597986,-18.0480514281757,"HN","mid"
"193","B73",542,-5.2210797404333,7.10277329595426,0.80943613926907,11.4426903534125,-18.1395374998693,"HN","mid"
"194","B73",543,-5.26017784121269,7.11532543496525,0.810866588266564,11.4035206059896,-18.2034807041866,"HN","mid"
"195","B73",544,-5.29072346964813,7.11876742496856,0.81125883943151,11.3685892124993,-18.2344693439474,"HN","mid"
