"PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","genotype","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"1196","46","4","1","1","Inbred","HN","2022","BGEM-0228-N","BGEM_Short_late","0","2",74.6,7.5,89,173.5,212.5
"1197","47","4","1","1","Inbred","HN","2022","BGEM-0220-S","BGEM_Short_late","0","2",67.5,8.7,86,176,220
"1198","48","4","1","1","Inbred","HN","2022","BGEM-0026-S","BGEM_Short_late","0","2",76.85,9.9,67.5,150,190
"1199","49","4","1","1","Inbred","HN","2022","BGEM-0259-N","BGEM_Short_late","0","2",77.25,7.3,85,189.5,227
"1200","50","4","1","1","Inbred","HN","2022","BGEM-0246-N","BGEM_Short_late","0","2",62.5,5.95,69,160.5,191
"1201","1","5","1","1","Inbred","HN","2022","BGEM-0295-S","BGEM_Tall_early","0","2",71.55,9.1,85,170,213
"1202","2","5","1","1","Inbred","HN","2022","BGEM-0148-S","BGEM_Tall_early","0","2",71,7.9,60,159.5,191.5
"1203","3","5","1","1","Inbred","HN","2022","BGEM-0045-N","BGEM_Tall_early","0","1",68.5,7.75,89.5,200,231
"1204","4","5","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_early","0","2",68.95,9.45,74.5,157.5,205
"1205","5","5","1","1","Inbred","HN","2022","BGEM-0300-S","BGEM_Tall_early","0","2",67.5,8.5,77.5,161.5,200.5
"1206","6","5","1","1","Inbred","HN","2022","BGEM-0078-N","BGEM_Tall_early","0","2",69.15,6.7,75,187,220.5
"1207","7","5","1","1","Inbred","HN","2022","BGEM-0299-N","BGEM_Tall_early","0","2",62.8,6.55,69,161.5,190
"1208","8","5","1","1","Inbred","HN","2022","BGEM-0302-S","BGEM_Tall_early","0","2",75.8,7.5,54,150,192.5
"1209","9","5","1","1","Inbred","HN","2022","BGEM-0145-N","BGEM_Tall_early","0","2",70.3,6.5,73.5,107.5,171
"1210","10","5","1","1","Inbred","HN","2022","BGEM-0199-S","BGEM_Tall_early","0","2",80.25,8.85,80,174,218.5
"1211","11","5","1","1","Inbred","HN","2022","BGEM-0122-N","BGEM_Tall_early","0","2",68.55,7.7,76,162.5,193.5
"1212","12","5","1","1","Inbred","HN","2022","B73","BGEM_Tall_early","0","1",79.25,8.55,89,166.5,205
"1213","13","5","1","1","Inbred","HN","2022","BGEM-0054-S","BGEM_Tall_early","0","1",77.25,9.9,85.5,189.5,230
"1214","14","5","1","1","Inbred","HN","2022","BGEM-0146-N","BGEM_Tall_early","0","2",68.75,6.5,92.5,182,220
